ofx-preprd-lvdc-filist.bmw.com A 198.18.1.28
oklahomacityhelpwantev.bmw.com A 86.35.3.192
oklahomacityhelpwantev.bmw.com A 86.35.3.193
olympics-olympics.bmw.com A 86.35.3.192
olympics-olympics.bmw.com A 86.35.3.193
orbitera.bmw.com A 86.35.3.192
orbitera.bmw.com A 86.35.3.193
p02-ubiquity-china-ic3.bmw.com A 86.35.3.192
p02-ubiquity-china-ic3.bmw.com A 86.35.3.193
p03-calendars-ic1.bmw.com A 86.35.3.192
p03-calendars-ic1.bmw.com A 86.35.3.193
p09-iwmb8-china.bmw.com A 86.35.3.192
p09-iwmb8-china.bmw.com A 86.35.3.193
p128-quota-china.bmw.com A 86.35.3.192
p128-quota-china.bmw.com A 86.35.3.193
p135-remindersws.bmw.com A 86.35.3.192
p135-remindersws.bmw.com A 86.35.3.193
p33-pairingws.bmw.com A 86.35.3.192
p33-pairingws.bmw.com A 86.35.3.193
p3bcork34c-3.bmw.com A 86.35.3.192
p3bcork34c-3.bmw.com A 86.35.3.193
p47-fmipmobile-china.bmw.com A 86.35.3.192
p47-fmipmobile-china.bmw.com A 86.35.3.193
p57-iwmb6.bmw.com A 86.35.3.192
p57-iwmb6.bmw.com A 86.35.3.193
p69-iwmb4-china.bmw.com A 86.35.3.192
p69-iwmb4-china.bmw.com A 86.35.3.193
parcerias.bmw.com A 86.35.3.192
parcerias.bmw.com A 86.35.3.193
pgg4bv.bmw.com A 86.35.3.192
pgg4bv.bmw.com A 86.35.3.193
