458-8-3.mini.com A 0.0.0.0
capi-aa.mini.com A 86.35.3.192
capi-aa.mini.com A 86.35.3.193
cronos-mainnet.mini.com A 86.35.3.192
cronos-mainnet.mini.com A 86.35.3.193
els-ext-m10.mini.com A 86.35.3.192
els-ext-m10.mini.com A 86.35.3.193
gpcdn.mini.com A 86.35.3.192
gpcdn.mini.com A 86.35.3.193
mlough.mini.com A 86.35.3.192
mlough.mini.com A 86.35.3.193
owa-iwa-gaalpa1msg.mini.com A 86.35.3.192
owa-iwa-gaalpa1msg.mini.com A 86.35.3.193
presourcemail-sentry-csm.mini.com A 86.35.3.192
presourcemail-sentry-csm.mini.com A 86.35.3.193
qa-cantire.mini.com A 86.35.3.192
qa-cantire.mini.com A 86.35.3.193
tcmn.mini.com A 86.35.3.192
tcmn.mini.com A 86.35.3.193
yk-tst2-westeurope-grafana.mini.com A 86.35.3.192
yk-tst2-westeurope-grafana.mini.com A 86.35.3.193
